あば	a̠ b a̠
てんらん	t ẽ̞ n ɾ ã̠ ɴ
てんない	t ẽ̞ nː a̠ i
てんのう	t ẽ̞ nː o̞ː
ていおん	t e̞ː õ̞ ɴ
ていせい	t e̞ː s e̞ː
ていそう	t e̞ː s o̞ː
ていてつ	t e̞ː t e̞ t͡s ɨᵝ
ていとく	t e̞ː t o̞ k ɯ̟ᵝ
ていぞく	t e̞ː z o̞ k ɯ̟ᵝ
ていしゃ	t e̞ː ɕ a̠
ていれつ	t e̞ː ɾ e̞ t͡s ɨᵝ
ていげん	t e̞ː ɡ ẽ̞ ɴ
ていしつ	t e̞ː ɕ i t͡s ɨᵝ
ていじろ	t e̞ː ʑ i ɾ o̞
ていしん	t e̞ː ɕ ĩ ɴ
てんかい	t ẽ̞ ŋ k a̠ i
てんかん	t ẽ̞ ŋ k ã̠ ɴ
てんけい	t ẽ̞ ŋ k e̞ː
てんけん	t ẽ̞ ŋ k ẽ̞ ɴ
てんこう	t ẽ̞ ŋ k o̞ː
てんくう	t ẽ̞ ŋ k ɯ̟ᵝː
てんせい	t ẽ̞ ŋ s e̞ i
てんがん	t ẽ̞ ŋ ɡ ã̠ ɴ
てんげん	t ẽ̞ ŋ ɡ ẽ̞ ɴ
てんごく	t ẽ̞ ŋ ɡ o̞ k ɯ̟ᵝ
てんぐさ	t ẽ̞ ŋ ɡ ɯ̟ᵝ s a̠
てんいん	t ẽ̞ ɰ̃ ĩ ɴ
てんさい	t ẽ̞ ɰ̃ s a̠ i
てんさく	t ẽ̞ ɰ̃ s a̠ k ɯ̟ᵝ
てんそく	t ẽ̞ ɰ̃ s o̞ k ɯ̟ᵝ
てんそう	t ẽ̞ ɰ̃ s o̞ː
てんすう	t ẽ̞ ɰ̃ s ɨᵝː
てんしゃ	t ẽ̞ ɰ̃ ɕ a̠
てんしゅ	t ẽ̞ ɰ̃ ɕ ɨᵝ
とびさる	t o̞ bʲ i s a̠ ɾ ɯ̟ᵝ
とびうお	t o̞ bʲ i ɯ̟ᵝ o̞
とよさき	t o̞ j o̞ s a̠ kʲ i
とけいざ	t o̞ k e̞ː z a̠
とこむし	t o̞ k o̞ m ɯ̟ᵝ ɕ i
とことん	t o̞ k o̞ t õ̞ ɴ
とくばい	t o̞ k ɯ̟ᵝ b a̠ i
とくべつ	t o̞ k ɯ̟ᵝ b e̞ t͡s ɨᵝ
とくほう	t o̞ k ɯ̟ᵝ h o̞ː
とくよう	t o̞ k ɯ̟ᵝ j o̞ː
とくゆう	t o̞ k ɯ̟ᵝ j ɯ̟ᵝː
とくめい	t o̞ k ɯ̟ᵝ m e̞ː
とくれい	t o̞ k ɯ̟ᵝ ɾ e̞ː
とくしま	t o̞ k ɯ̟ᵝ ɕ i m a̠
とくしつ	t o̞ k ɯ̟ᵝ ɕ i̥ t͡s ɨᵝ
とくしん	t o̞ k ɯ̟ᵝ ɕ ĩ ɴ
とくほん	t o̞ k ɯ̟̊ᵝ h õ̞ ɴ
とくさつ	t o̞ k ɯ̟̊ᵝ s a̠ t͡s ɨᵝ
とくさん	t o̞ k ɯ̟̊ᵝ s ã̠ ɴ
とくてい	t o̞ k ɯ̟̊ᵝ t e̞ː
とくてん	t o̞ k ɯ̟̊ᵝ t ẽ̞ ɴ
とくとう	t o̞ k ɯ̟̊ᵝ t o̞ː
とくしゅ	t o̞ k ɯ̟̊ᵝ ɕ ɨᵝ
ときどき	t o̞ kʲ i d o̞ kʲ i
ときおり	t o̞ kʲ i o̞ ɾʲ i
とっけつ	t o̞ k̚ k e̞ t͡s ɨᵝ
とっこつ	t o̞ k̚ k o̞ t͡s ɨᵝ
ときょう	t o̞ kʲ o̞ː
とっきょ	t o̞ k̚ʲ kʲ o̞
とまどい	t o̞ m a̠ d o̞ i
とまりぎ	t o̞ m a̠ ɾʲ i ɡʲ i
とめがね	t o̞ m e̞ ɡ a̠ n e̞
ともひと	t o̞ m o̞ ç i t o̞
ともはる	t o̞ m o̞ h a̠ ɾ ɯ̟ᵝ
ともよし	t o̞ m o̞ j o̞ ɕ i
ともゆき	t o̞ m o̞ j ɯ̟ᵝ kʲ i
とものり	t o̞ m o̞ n o̞ ɾʲ i
ともたか	t o̞ m o̞ t a̠ k a̠
ともしび	t o̞ m o̞ ɕ i bʲ i
ともぐい	t o̞ m o̞ ɡ ɯ̟ᵝ i
とみくじ	t o̞ mʲ i k ɯ̟ᵝ ʑ i
とねりこ	t o̞ n e̞ ɾʲ i k o̞
とっぱつ	t o̞ p̚ p a̠ t͡s ɨᵝ
とっとり	t o̞ t̚ t o̞ ɾʲ i
とつくに	t o̞ t͡s ɨᵝ k ɯ̟ᵝ ɲ̟ i
とつげき	t o̞ t͡s ɨᵝ ɡ e̞ kʲ i
とちゅう	t o̞ t͡ɕ ɨᵝː
とざんか	t o̞ z ã̠ ŋ k a̠
とらねこ	t o̞ ɾ a̠ n e̞ k o̞
としだま	t o̞ ɕ i d a̠ m a̠
としより	t o̞ ɕ i j o̞ ɾʲ i
としゆき	t o̞ ɕ i j ɯ̟ᵝ kʲ i
とじこみ	t o̞ ʑ i k o̞ mʲ i
としのり	t o̞ ɕ i n o̞ ɾʲ i
としてる	t o̞ ɕ i t e̞ ɾ ɯ̟ᵝ
としつき	t o̞ ɕ i t͡s ɨᵝ kʲ i
としがみ	t o̞ ɕ i ɡ a̠ mʲ i
としした	t o̞ ɕ i ɕ i t a̠
とじょう	t o̞ ʑ o̞ː
とりかえ	t o̞ ɾʲ i k a̠ e̞
とにかく	t o̞ ɲ̟ i k a̠ k ɯ̟ᵝ
とりけし	t o̞ ɾʲ i k e̞ ɕ i
とりくみ	t o̞ ɾʲ i k ɯ̟ᵝ mʲ i
とりきめ	t o̞ ɾʲ i kʲ i m e̞
とりもち	t o̞ ɾʲ i m o̞ t͡ɕ i
とりつく	t o̞ ɾʲ i t͡s ɨᵝ k ɯ̟ᵝ
とぎじる	t o̞ ɡʲ i ʑ i ɾ ɯ̟ᵝ
とりわけ	t o̞ ɾʲ i ɰᵝ a̠ k e̞
とりょう	t o̞ ɾʲ o̞ː
とうあん	t o̞ː ã̠ ɴ
とうばく	t o̞ː b a̠ k ɯ̟ᵝ
とうばつ	t o̞ː b a̠ t͡s ɨᵝ
とうばん	t o̞ː b ã̠ ɴ
とうべに	t o̞ː b e̞ ɲ̟ i
とうべん	t o̞ː b ẽ̞ ɴ
とんぼう	t o̞ː b o̞ː
とうぶん	t o̞ː b ɯ̟̃ᵝ ɴ
とうだい	t o̞ː d a̠ i
とうだん	t o̞ː d ã̠ ɴ
とうどり	t o̞ː d o̞ ɾʲ i
とうはつ	t o̞ː h a̠ t͡s ɨᵝ
とうほく	t o̞ː h o̞ k ɯ̟ᵝ
とうほう	t o̞ː h o̞ː
とういつ	t o̞ː i t͡s ɨᵝ
とういん	t o̞ː ĩ ɴ
とうよう	t o̞ː j o̞ː
とうかい	t o̞ː k a̠ i
とうかく	t o̞ː k a̠ k ɯ̟ᵝ
とうかつ	t o̞ː k a̠ t͡s ɨᵝ
とうかん	t o̞ː k ã̠ ɴ
とうけつ	t o̞ː k e̞ t͡s ɨᵝ
とうけん	t o̞ː k ẽ̞ ɴ
とうこう	t o̞ː k o̞ː
とうきょ	t o̞ː kʲ o̞
とおまき	t o̞ː m a̠ kʲ i
とうまつ	t o̞ː m a̠ t͡s ɨᵝ
とうめん	t o̞ː m ẽ̞ ɴ
とうみつ	t o̞ː mʲ i t͡s ɨᵝ
とうみん	t o̞ː mʲ ĩ ɴ
とうなん	t o̞ː n ã̠ ɴ
とうねん	t o̞ː n ẽ̞ ɴ
とうおう	t o̞ː o̞ː
とうおん	t o̞ː õ̞ ɴ
とうさく	t o̞ː s a̠ k ɯ̟ᵝ
とうせき	t o̞ː s e̞ kʲ i
とうそう	t o̞ː s o̞ː
とうたつ	t o̞ː t a̠ t͡s ɨᵝ
とうたん	t o̞ː t ã̠ ɴ
とうてい	t o̞ː t e̞ː
とうてん	t o̞ː t ẽ̞ ɴ
とうとつ	t o̞ː t o̞ t͡s ɨᵝ
とうざい	t o̞ː z a̠ i
とうぜん	t o̞ː z ẽ̞ ɴ
とうぞく	t o̞ː z o̞ k ɯ̟ᵝ
とうがい	t o̞ː ɡ a̠ i
とうらい	t o̞ː ɾ a̠ i
とうがし	t o̞ː ɡ a̠ ɕ i
とうげい	t o̞ː ɡ e̞ː
とうしば	t o̞ː ɕ i b a̠
とうぢさ	t o̞ː ʑ i s a̠
とうしつ	t o̞ː ɕ i t͡s ɨᵝ
とうじつ	t o̞ː ʑ i t͡s ɨᵝ
とうじご	t o̞ː ʑ i ɡ o̞
とうしか	t o̞ː ɕ i̥ k a̠
とうしん	t o̞ː ɕ ĩ ɴ
とんかつ	t õ̞ ŋ k a̠ t͡s ɨ̥ᵝ
とんかち	t õ̞ ŋ k a̠ t͡ɕ i
とうしょ	t o̞ː ɕ o̞
とうごう	t o̞ː ɡ o̞ː
とうろん	t o̞ː ɾ õ̞ ɴ
とうしゅ	t o̞ː ɕ ɨᵝ
とうふう	t o̞ː ɸ ɯ̟ᵝː
とんじる	t õ̞ ɲ̟ d͡ʑ i ɾ ɯ̟ᵝ
とおりま	t o̞ː ɾʲ i m a̠
とんそく	t õ̞ ɰ̃ s o̞ k ɯ̟ᵝ
とんちき	t õ̞ ɲ̟ t͡ɕ i kʲ i
とんにく	t õ̞ ɲ̟ ɲ̟ i k ɯ̟ᵝ
つべこべ	t͡s ɨᵝ b e̞ k o̞ b e̞
つぼくさ	t͡s ɨᵝ b o̞ k ɯ̟ᵝ s a̠
つぼめる	t͡s ɨᵝ b o̞ m e̞ ɾ ɯ̟ᵝ
つぶやき	t͡s ɨᵝ b ɯ̟ᵝ j a̠ kʲ i
ついばむ	t͡s ɨᵝ i b a̠ m ɯ̟ᵝ
ついえる	t͡s ɨᵝ i e̞ ɾ ɯ̟ᵝ
ついほう	t͡s ɨᵝ i h o̞ː
ついせき	t͡s ɨᵝ i s e̞ kʲ i
ついそう	t͡s ɨᵝ i s o̞ː
ついとつ	t͡s ɨᵝ i t o̞ t͡s ɨᵝ
ついとう	t͡s ɨᵝ i t o̞ː
ついずい	t͡s ɨᵝ i z ɨᵝ i
ついらく	t͡s ɨᵝ i ɾ a̠ k ɯ̟ᵝ
ついげき	t͡s ɨᵝ i ɡ e̞ kʲ i
つゆあけ	t͡s ɨᵝ j ɯ̟ᵝ a̠ k e̞
つかえる	t͡s ɨᵝ k a̠ e̞ ɾ ɯ̟ᵝ
つけぶみ	t͡s ɨᵝ k e̞ b ɯ̟ᵝ mʲ i
つけこむ	t͡s ɨᵝ k e̞ k o̞ m ɯ̟ᵝ
つくりじ	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i ʑ i
つきそう	t͡s ɨᵝ kʲ i s o̞ː
つまびく	t͡s ɨᵝ m a̠ bʲ i k ɯ̟ᵝ
つまさき	t͡s ɨᵝ m a̠ s a̠ kʲ i
つめこむ	t͡s ɨᵝ m e̞ k o̞ m ɯ̟ᵝ
つめくさ	t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
つめきり	t͡s ɨᵝ m e̞ kʲ i ɾʲ i
つむくり	t͡s ɨᵝ m ɯ̟ᵝ k ɯ̟ᵝ ɾʲ i
つみとが	t͡s ɨᵝ mʲ i t o̞ ɡ a̠
つなひき	t͡s ɨᵝ n a̠ ç i̥ kʲ i
つながり	t͡s ɨᵝ n a̠ ɡ a̠ ɾʲ i
つたない	t͡s ɨᵝ t a̠ n a̠ i
つちたら	t͡s ɨᵝ t͡ɕ i t a̠ ɾ a̠
つづけじ	t͡s ɨᵝ z ɨᵝ k e̞ ʑ i
つづりじ	t͡s ɨᵝ z ɨᵝ ɾʲ i ʑ i
つれさる	t͡s ɨᵝ ɾ e̞ s a̠ ɾ ɯ̟ᵝ
つじかぜ	t͡s ɨᵝ ʑ i k a̠ z e̞
つじつま	t͡s ɨᵝ ʑ i t͡s ɨᵝ m a̠
つじうら	t͡s ɨᵝ ʑ i ɯ̟ᵝ ɾ a̠
つりかわ	t͡s ɨᵝ ɾʲ i k a̠ ɰᵝ a̠
つぎさま	t͡s ɨᵝ ɡʲ i s a̠ m a̠
つぎざま	t͡s ɨᵝ ɡʲ i s a̠ m a̠
つうよう	t͡s ɨᵝː j o̞ː
つうかく	t͡s ɨᵝː k a̠ k ɯ̟ᵝ
つかのま	t͡s ɨ̥ᵝ k a̠ n o̞ m a̠
つけもの	t͡s ɨ̥ᵝ k e̞ m o̞ n o̞
つうこく	t͡s ɨᵝː k o̞ k ɯ̟ᵝ
つうこう	t͡s ɨᵝː k o̞ː
つきあい	t͡s ɨ̥ᵝ kʲ i a̠ i
つきそい	t͡s ɨ̥ᵝ kʲ i s o̞ i
つうきん	t͡s ɨᵝː kʲ ĩ ɴ
つっこみ	t͡s ɨ̥ᵝ k̚ k o̞ mʲ i
つんどく	t͡s ɨ̃ᵝ n d o̞ k ɯ̟ᵝ
つうさん	t͡s ɨᵝː s ã̠ ɴ
つうせつ	t͡s ɨᵝː s e̞ t͡s ɨᵝ
つちのと	t͡s ɨ̥ᵝ t͡ɕ i n o̞ t o̞
つちぐも	t͡s ɨ̥ᵝ t͡ɕ i ɡ ɯ̟ᵝ m o̞
つうぞく	t͡s ɨᵝː z o̞ k ɯ̟ᵝ
つうがく	t͡s ɨᵝː ɡ a̠ k ɯ̟ᵝ
つうしん	t͡s ɨᵝː ɕ ĩ ɴ
つうふう	t͡s ɨᵝː ɸ ɯ̟ᵝː
ちゃいろ	t͡ɕ a̠ i ɾ o̞
ちゃよう	t͡ɕ a̠ j o̞ː
ちゃかい	t͡ɕ a̠ k a̠ i
ちゃかす	t͡ɕ a̠ k a̠ s ɨᵝ
ちゃづけ	t͡ɕ a̠ z ɨᵝ k e̞
ちゃわん	t͡ɕ a̠ ɰᵝ ã̠ ɴ
ちばけん	t͡ɕ i b a̠ k ẽ̞ ɴ
ちばなれ	t͡ɕ i b a̠ n a̠ ɾ e̞
ちばしる	t͡ɕ i b a̠ ɕ i ɾ ɯ̟ᵝ
ちびっこ	t͡ɕ i bʲ i k̚ k o̞
ちいるい	t͡ɕ i i ɾ ɯ̟ᵝ i
ちやほや	t͡ɕ i j a̠ h o̞ j a̠
ちかどう	t͡ɕ i k a̠ d o̞ː
ちかごろ	t͡ɕ i k a̠ ɡ o̞ ɾ o̞
ちくかん	t͡ɕ i k ɯ̟ᵝ k ã̠ ɴ
ちくねつ	t͡ɕ i k ɯ̟ᵝ n e̞ t͡s ɨᵝ
ちくせい	t͡ɕ i k ɯ̟ᵝ s e̞ː
ちくとう	t͡ɕ i k ɯ̟ᵝ t o̞ː
ちみどろ	t͡ɕ i mʲ i d o̞ ɾ o̞
ちねずみ	t͡ɕ i n e̞ z ɨᵝ mʲ i
ちちゅう	t͡ɕ i t͡ɕ ɨᵝ
ちがえる	t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
ちらっと	t͡ɕ i ɾ a̠ t̚ t o̞
ちらつく	t͡ɕ i ɾ a̠ t͡s ɨᵝ k ɯ̟ᵝ
ちぢかむ	t͡ɕ i ʑ i k a̠ m ɯ̟ᵝ
ちりめん	t͡ɕ i ɾʲ i m ẽ̞ ɴ
ちりがく	t͡ɕ i ɾʲ i ɡ a̠ k ɯ̟ᵝ
ちぎれる	t͡ɕ i ɡʲ i ɾ e̞ ɾ ɯ̟ᵝ
ちりぢり	t͡ɕ i ɾʲ i ʑ i ɾʲ i
ちりょう	t͡ɕ i ɾʲ o̞ː
ちかてつ	t͡ɕ i̥ k a̠ t e̞ t͡s ɨᵝ
ちっこい	t͡ɕ i̥ k̚ k o̞ i
ちんぼつ	t͡ɕ ĩ m b o̞ t͡s ɨᵝ
ちんもく	t͡ɕ ĩ mː o̞ k ɯ̟ᵝ
ちんでん	t͡ɕ ĩ n d ẽ̞ ɴ
ちんつう	t͡ɕ ĩ n t͡s ɨᵝː
ちんれつ	t͡ɕ ĩ n ɾ e̞ t͡s ɨᵝ
ちちおや	t͡ɕ i̥ t͡ɕ i o̞ j a̠
ちんこう	t͡ɕ ĩ ŋ k o̞ː
ちんこん	t͡ɕ ĩ ŋ k õ̞ ɴ
ちんあつ	t͡ɕ ĩ ɰ̃ a̠ t͡s ɨᵝ
ちんじゅ	t͡ɕ ĩ ɲ̟ d͡ʑ ɨᵝ
ちんせい	t͡ɕ ĩ ɰ̃ s e̞ː
ちんしゃ	t͡ɕ ĩ ɰ̃ ɕ a̠
ちんぎん	t͡ɕ ĩ ŋʲ ɡʲ ĩ ɴ
ちょくご	t͡ɕ o̞ k ɯ̟ᵝ ɡ o̞
ちょくし	t͡ɕ o̞ k ɯ̟̊ᵝ ɕ i
ちょうど	t͡ɕ o̞ː d o̞
ちょうは	t͡ɕ o̞ː h a̠
ちょうい	t͡ɕ o̞ː i
ちょうか	t͡ɕ o̞ː k a̠
ちょうさ	t͡ɕ o̞ː s a̠
ちょうじ	t͡ɕ o̞ː ʑ i
あっそん	t͡ɕ o̞ː ɕ ĩ ɴ
ちょうり	t͡ɕ o̞ː ɾʲ i
ちゅうひ	t͡ɕ ɨᵝː ç i
ちゅうい	t͡ɕ ɨᵝː i
ちゅうや	t͡ɕ ɨᵝː j a̠
ちゅうさ	t͡ɕ ɨᵝː s a̠
ちゅうし	t͡ɕ ɨᵝː ɕ i
なかゆび	t͡ɕ ɨᵝː ɕ i
ちゅうう	t͡ɕ ɨᵝː ɯ̟ᵝ
うつせみ	u t s u s e m i
ぜつない	z e t s u n a i
しゃばく	ɕ a̠ b a̠ k ɯ̟ᵝ
しゃべる	ɕ a̠ b e̞ ɾ ɯ̟ᵝ
がびょう	ɡ a̠ bʲ o̞ː
しゃだん	ɕ a̠ d ã̠ ɴ
しゃどう	ɕ a̠ d o̞ː
らいひん	ɾ a̠ i ç ĩ ɴ
がいでん	ɡ a̠ i d ẽ̞ ɴ
らいえん	ɾ a̠ i ẽ̞ ɴ
がいはく	ɡ a̠ i h a̠ k ɯ̟ᵝ
がいはつ	ɡ a̠ i h a̠ t͡s ɨᵝ
らいはん	ɾ a̠ i h ã̠ ɴ
がいよう	ɡ a̠ i j o̞ː
がいかつ	ɡ a̠ i k a̠ t͡s ɨᵝ
がいかん	ɡ a̠ i k ã̠ ɴ
らいかん	ɾ a̠ i k ã̠ ɴ
がいけん	ɡ a̠ i k ẽ̞ ɴ
がいこく	ɡ a̠ i k o̞ k ɯ̟ᵝ
がいこつ	ɡ a̠ i k o̞ t͡s ɨᵝ
がいこう	ɡ a̠ i k o̞ː
らいこう	ɾ a̠ i k o̞ː
らいめい	ɾ a̠ i m e̞ː
らいねん	ɾ a̠ i n ẽ̞ ɴ
がいせつ	ɡ a̠ i s e̞ t͡s ɨᵝ
がいたん	ɡ a̠ i t ã̠ ɴ
がいとう	ɡ a̠ i t o̞ː
らいらく	ɾ a̠ i ɾ a̠ k ɯ̟ᵝ
らいげつ	ɾ a̠ i ɡ e̞ t͡s ɨᵝ
らいじつ	ɾ a̠ i ʑ i t͡s ɨᵝ
らいにち	ɾ a̠ i ɲ̟ i t͡ɕ i
らいぎょ	ɾ a̠ i ɡʲ o̞
しゃいん	ɕ a̠ ĩ ɴ
しゃかい	ɕ a̠ k a̠ i
らくだい	ɾ a̠ k ɯ̟ᵝ d a̠ i
がくだん	ɡ a̠ k ɯ̟ᵝ d ã̠ ɴ
らくえつ	ɾ a̠ k ɯ̟ᵝ e̞ t͡s ɨᵝ
がくいん	ɡ a̠ k ɯ̟ᵝ ĩ ɴ
がくこつ	ɡ a̠ k ɯ̟ᵝ k o̞ t͡s ɨᵝ
がくめい	ɡ a̠ k ɯ̟ᵝ m e̞ː
らくさん	ɾ a̠ k ɯ̟ᵝ s ã̠ ɴ
らくせつ	ɾ a̠ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
らくせん	ɾ a̠ k ɯ̟ᵝ s ẽ̞ ɴ
がくたい	ɡ a̠ k ɯ̟ᵝ t a̠ i
らくたん	ɾ a̠ k ɯ̟ᵝ t ã̠ ɴ
らくてん	ɾ a̠ k ɯ̟ᵝ t ẽ̞ ɴ
がくしゃ	ɡ a̠ k ɯ̟ᵝ ɕ a̠
らくらい	ɾ a̠ k ɯ̟ᵝ ɾ a̠ i
がくれき	ɡ a̠ k ɯ̟ᵝ ɾ e̞ kʲ i
がくせい	ɡ a̠ k ɯ̟̊ᵝ s e̞ː
がまぐち	ɡ a̠ m a̠ ɡ ɯ̟ᵝ t͡ɕ i
しゃむろ	ɕ a̠ m ɯ̟ᵝ ɾ o̞
しゃない	ɕ a̠ n a̠ i
しゃさつ	ɕ a̠ s a̠ t͡s ɨᵝ
しゃせい	ɕ a̠ s e̞ː
しゃたい	ɕ a̠ t a̠ i
がったい	ɡ a̠ t̚ t a̠ i
がちょう	ɡ a̠ t͡ɕ o̞ː
ががんぼ	ɡ a̠ ɡ ã̠ m b o̞
がらんび	ɡ a̠ ɾ ã̠ m bʲ i
しゃがん	ɕ a̠ ɡ ã̠ ɴ
がしせん	ɡ a̠ ɕ i s ẽ̞ ɴ
しゃしん	ɕ a̠ ɕ ĩ ɴ
がしょう	ɡ a̠ ɕ o̞ː
らしゅう	ɾ a̠ ɕ ɨᵝː
しゃりし	ɕ a̠ ɾʲ i ɕ i
がりょう	ɡ a̠ ɾʲ o̞ː
らんぼう	ɾ ã̠ m b o̞ː
らんぱく	ɾ ã̠ m p a̠ k ɯ̟ᵝ
らんまん	ɾ ã̠ mː ã̠ ɴ
がんめん	ɡ ã̠ mː ẽ̞ ɴ
がんたい	ɡ ã̠ n t a̠ i
がんたん	ɡ ã̠ n t ã̠ ɴ
がんつう	ɡ ã̠ n t͡s ɨᵝː
がんらい	ɡ ã̠ n ɾ a̠ i
らんりつ	ɾ ã̠ n ɾʲ i t͡s ɨᵝ
がんねん	ɡ ã̠ nː ẽ̞ ɴ
らんかく	ɾ ã̠ ŋ k a̠ k ɯ̟ᵝ
らんこく	ɾ ã̠ ŋ k o̞ k ɯ̟ᵝ
がんこう	ɡ ã̠ ŋ k o̞ː
がんじつ	ɡ ã̠ ɲ̟ d͡ʑ i t͡s ɨᵝ
がんやく	ɡ ã̠ ɰ̃ j a̠ k ɯ̟ᵝ
がんせき	ɡ ã̠ ɰ̃ s e̞ kʲ i
らんしゃ	ɾ ã̠ ɰ̃ ɕ a̠
らんぎり	ɾ ã̠ ŋʲ ɡʲ i ɾʲ i
げきあい	ɡ e̞ kʲ i a̠ i
げきだん	ɡ e̞ kʲ i d ã̠ ɴ
げきやす	ɡ e̞ kʲ i j a̠ s ɨᵝ
げきれい	ɡ e̞ kʲ i ɾ e̞ː
げきげん	ɡ e̞ kʲ i ɡ ẽ̞ ɴ
れきせい	ɾ e̞ kʲ i̥ s e̞ː
げっけい	ɡ e̞ k̚ k e̞ː
げっぺい	ɡ e̞ p̚ p e̞ː
れっせき	ɾ e̞ sː e̞ kʲ i
げてもの	ɡ e̞ t e̞ m o̞ n o̞
げっとう	ɡ e̞ t̚ t o̞ː
れっとう	ɾ e̞ t̚ t o̞ː
れつあく	ɾ e̞ t͡s ɨᵝ a̠ k ɯ̟ᵝ
げつえい	ɡ e̞ t͡s ɨᵝ e̞ː
つきかげ	ɡ e̞ t͡s ɨᵝ e̞ː
げつよう	ɡ e̞ t͡s ɨᵝ j o̞ː
げつめい	ɡ e̞ t͡s ɨᵝ m e̞ː
げつがく	ɡ e̞ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
げじげじ	ɡ e̞ ʑ i ɡ e̞ ʑ i
れいばい	ɾ e̞ː b a̠ i
れいえん	ɾ e̞ː ẽ̞ ɴ
れいよう	ɾ e̞ː j o̞ː
げいこつ	ɡ e̞ː k o̞ t͡s ɨᵝ
げんぶん	ɡ ẽ̞ m b ɯ̟̃ᵝ ɴ
れいめい	ɾ e̞ː m e̞ː
げんぽう	ɡ ẽ̞ m p o̞ː
れんぽう	ɾ ẽ̞ m p o̞ː
げんぴん	ɡ ẽ̞ m pʲ ĩ ɴ
げんまい	ɡ ẽ̞ mː a̠ i
げんめつ	ɡ ẽ̞ mː e̞ t͡s ɨᵝ
れいみん	ɾ e̞ː mʲ ĩ ɴ
げんだい	ɡ ẽ̞ n d a̠ i
れんだく	ɾ ẽ̞ n d a̠ k ɯ̟ᵝ
げんざい	ɡ ẽ̞ n d͡z a̠ i
げんざん	ɡ ẽ̞ n d͡z ã̠ ɴ
げんたい	ɡ ẽ̞ n t a̠ i
れんたい	ɾ ẽ̞ n t a̠ i
げんてい	ɡ ẽ̞ n t e̞ː
げんてん	ɡ ẽ̞ n t ẽ̞ ɴ
げんとう	ɡ ẽ̞ n t o̞ː
れんとう	ɾ ẽ̞ n t o̞ː
げんつき	ɡ ẽ̞ n t͡s ɨᵝ kʲ i
れんらく	ɾ ẽ̞ n ɾ a̠ k ɯ̟ᵝ
れんれん	ɾ ẽ̞ n ɾ ẽ̞ ɴ
れいさい	ɾ e̞ː s a̠ i
れいせい	ɾ e̞ː s e̞ː
れいそく	ɾ e̞ː s o̞ k ɯ̟ᵝ
れいすい	ɾ e̞ː s ɨᵝ i
れいちゃ	ɾ e̞ː t͡ɕ a̠
れいぞう	ɾ e̞ː z o̞ː
げいしゃ	ɡ e̞ː ɕ a̠
れいがい	ɾ e̞ː ɡ a̠ i
れいげつ	ɾ e̞ː ɡ e̞ t͡s ɨᵝ
れいげん	ɾ e̞ː ɡ ẽ̞ ɴ
げんかく	ɡ ẽ̞ ŋ k a̠ k ɯ̟ᵝ
げんけい	ɡ ẽ̞ ŋ k e̞ː
げんこく	ɡ ẽ̞ ŋ k o̞ k ɯ̟ᵝ
げんこう	ɡ ẽ̞ ŋ k o̞ː
れいしょ	ɾ e̞ː ɕ o̞
げいごう	ɡ e̞ː ɡ o̞ː
げんがく	ɡ ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
げんごか	ɡ ẽ̞ ŋ ɡ o̞ k a̠
れんごく	ɾ ẽ̞ ŋ ɡ o̞ k ɯ̟ᵝ
れんごう	ɾ ẽ̞ ŋ ɡ o̞ː
れんあい	ɾ ẽ̞ ɰ̃ a̠ i
げんいん	ɡ ẽ̞ ɰ̃ ĩ ɴ
げんきん	ɡ ẽ̞ ŋʲ kʲ ĩ ɴ
れんおん	ɾ ẽ̞ ɰ̃ õ̞ ɴ
げんさく	ɡ ẽ̞ ɰ̃ s a̠ k ɯ̟ᵝ
げんさん	ɡ ẽ̞ ɰ̃ s ã̠ ɴ
れんせつ	ɾ ẽ̞ ɰ̃ s e̞ t͡s ɨᵝ
げんせん	ɡ ẽ̞ ɰ̃ s ẽ̞ ɴ
げんそく	ɡ ẽ̞ ɰ̃ s o̞ k ɯ̟ᵝ
げんそう	ɡ ẽ̞ ɰ̃ s o̞ː
げんすい	ɡ ẽ̞ ɰ̃ s ɨᵝ i
げんすう	ɡ ẽ̞ ɰ̃ s ɨᵝː
げんちご	ɡ ẽ̞ ɲ̟ t͡ɕ i ɡ o̞
げんしろ	ɡ ẽ̞ ɰ̃ ɕ i ɾ o̞
げんしゅ	ɡ ẽ̞ ɰ̃ ɕ ɨᵝ
れんぎょ	ɾ ẽ̞ ŋʲ ɡʲ o̞
しあわせ	ɕ i a̠ ɰᵝ a̠ s e̞
しばいぬ	ɕ i b a̠ i n ɯ̟ᵝ
しばしば	ɕ i b a̠ ɕ i b a̠
しはらい	ɕ i h a̠ ɾ a̠ i
しいてき	ɕ i i t e̞ kʲ i
しいんじ	ɕ i ĩ ɲ̟ d͡ʑ i
しようか	ɕ i j o̞ː k a̠
しかえし	ɕ i k a̠ e̞ ɕ i
しかざん	ɕ i k a̠ z ã̠ ɴ
しくんし	ɕ i k ɯ̟̃ᵝ ɰ̃ ɕ i
